"","year","fc_geoid","fc_geo_type","violation_class","viol"
"643",2012,"36005022200","tract","C",10
"644",2012,"36005022300","tract","A",117
"645",2012,"36005022300","tract","B",333
"646",2012,"36005022300","tract","C",142
"647",2012,"36005022401","tract","A",21
"648",2012,"36005022401","tract","B",56
"649",2012,"36005022401","tract","C",19
"650",2012,"36005022403","tract","A",28
"651",2012,"36005022403","tract","B",69
"652",2012,"36005022403","tract","C",34
"653",2012,"36005022404","tract","A",60
"654",2012,"36005022404","tract","B",190
"655",2012,"36005022404","tract","C",33
"656",2012,"36005022500","tract","A",252
"657",2012,"36005022500","tract","B",771
"658",2012,"36005022500","tract","C",174
"659",2012,"36005022701","tract","A",133
"660",2012,"36005022701","tract","B",315
"661",2012,"36005022701","tract","C",75
"662",2012,"36005022702","tract","A",34
"663",2012,"36005022702","tract","B",121
"664",2012,"36005022702","tract","C",44
"665",2012,"36005022703","tract","A",99
"666",2012,"36005022703","tract","B",136
"667",2012,"36005022703","tract","C",30
"668",2012,"36005022800","tract","A",74
"669",2012,"36005022800","tract","B",114
"670",2012,"36005022800","tract","C",48
"671",2012,"36005022901","tract","A",211
"672",2012,"36005022901","tract","B",518
"673",2012,"36005022901","tract","C",218
"674",2012,"36005022902","tract","A",89
"675",2012,"36005022902","tract","B",147
"676",2012,"36005022902","tract","C",39
"677",2012,"36005023000","tract","A",44
"678",2012,"36005023000","tract","B",134
"679",2012,"36005023000","tract","C",24
"680",2012,"36005023100","tract","A",12
"681",2012,"36005023100","tract","B",29
"682",2012,"36005023100","tract","C",10
"683",2012,"36005023200","tract","A",26
"684",2012,"36005023200","tract","B",71
"685",2012,"36005023200","tract","C",11
"686",2012,"36005023301","tract","A",95
"687",2012,"36005023301","tract","B",206
"688",2012,"36005023301","tract","C",62
"689",2012,"36005023302","tract","A",95
"690",2012,"36005023302","tract","B",279
"691",2012,"36005023302","tract","C",72
"692",2012,"36005023501","tract","A",70
"693",2012,"36005023501","tract","B",153
"694",2012,"36005023501","tract","C",37
"695",2012,"36005023502","tract","A",101
"696",2012,"36005023502","tract","B",349
"697",2012,"36005023502","tract","C",72
"698",2012,"36005023600","tract","A",26
"699",2012,"36005023600","tract","B",99
"700",2012,"36005023600","tract","C",36
"701",2012,"36005023702","tract","A",14
"702",2012,"36005023702","tract","B",61
"703",2012,"36005023702","tract","C",12
"704",2012,"36005023703","tract","A",137
"705",2012,"36005023703","tract","B",369
"706",2012,"36005023703","tract","C",139
"707",2012,"36005023704","tract","A",139
"708",2012,"36005023704","tract","B",390
"709",2012,"36005023704","tract","C",126
"710",2012,"36005023800","tract","A",38
"711",2012,"36005023800","tract","B",95
"712",2012,"36005023800","tract","C",29
"713",2012,"36005023900","tract","A",248
"714",2012,"36005023900","tract","B",532
"715",2012,"36005023900","tract","C",148
"716",2012,"36005024000","tract","A",32
"717",2012,"36005024000","tract","B",97
"718",2012,"36005024000","tract","C",123
"719",2012,"36005024100","tract","A",213
"720",2012,"36005024100","tract","B",516
"721",2012,"36005024100","tract","C",170
"722",2012,"36005024300","tract","A",102
"723",2012,"36005024300","tract","B",246
"724",2012,"36005024300","tract","C",94
"725",2012,"36005024400","tract","A",7
"726",2012,"36005024400","tract","B",23
"727",2012,"36005024501","tract","A",39
"728",2012,"36005024501","tract","B",118
